fps,dim,staleness,rmse_kf,rmse_held,n_samples
1,y,38,0.05621625702112829,0.6252333658899546,106
1,vy,38,0.2375134738398836,1.0713245498448882,106
1,angle,38,0.3906165638117611,1.1349387532711528,106
1,angular_velocity,38,0.5239416512501461,1.372786605768614,106
1,x,39,0.030788397086624616,0.15476176258380706,105
1,vx,39,0.11500059946258717,0.3363816683955522,105
1,y,39,0.05766672213195074,0.642861897245974,105
1,vy,39,0.08638452223558195,1.1003171739915152,105
1,angle,39,0.41568556103395166,1.191722652222786,105
1,angular_velocity,39,0.526393025278254,1.378284140220849,105
1,x,40,0.0317652375376383,0.15778870530412734,105
1,vx,40,0.11773416144363888,0.3435446902721923,105
1,y,40,0.05932675551888378,0.6698982756482235,105
1,vy,40,0.08731098090333059,1.1319985185020571,105
1,angle,40,0.43967124323246987,1.2584682354289665,105
1,angular_velocity,40,0.5409228986819168,1.4181849949707988,105
1,x,41,0.032727027661995166,0.16083108964228407,105
1,vx,41,0.12183214186555369,0.35224775613877013,105
1,y,41,0.06092271118887757,0.6973099493667584,105
1,vy,41,0.1390904768806129,1.158973783453258,105
1,angle,41,0.46445134652789133,1.3278014420664017,105
1,angular_velocity,41,0.8528404624830187,1.5961491514978505,105
1,x,42,0.033329800585215126,0.16456497945010937,104
1,vx,42,0.11850618671221594,0.35678847982109874,104
1,y,42,0.06215918612959346,0.7161810396464072,104
1,vy,42,0.29419326374207605,1.192042383799137,104
1,angle,42,0.49270444196689683,1.4060258796376472,104
