Wall time,Step,Value
1779320553.3446467,3488512,16.12385368347168
1779320554.5654657,3491232,13.967033386230469
1779320559.6907392,3502784,16.013513565063477
1779320636.6675563,3534880,16.072961807250977
1779320702.6734822,3542240,15.525114059448242
1779320780.341828,3576448,14.081196784973145
1779320790.073844,3598720,13.452735900878906
1779320948.6875849,3668032,15.0
1779321012.9882722,3671168,14.186602592468262
1779321013.5743375,3672480,11.773869514465332
1779321018.0731127,3682560,13.520408630371094
1779321018.245923,3682944,14.1871919631958
1779321018.287793,3683040,14.859375
1779321019.0599184,3684768,12.564356803894043
1779321253.9288769,3784064,18.65217399597168
1779321256.7947671,3791392,15.552325248718262
1779321258.0686603,3794208,15.507317543029785
1779321326.1926472,3803968,16.38888931274414
1779321405.0562825,3838656,15.093167304992676
1779321406.535958,3841920,18.537734985351562
1779321415.6788094,3862528,15.888324737548828
1779321482.2620878,3868960,13.403756141662598
1779321483.931722,3873056,13.65573787689209
1779321485.0403922,3875488,13.875706672668457
1779321486.8403273,3879648,15.232558250427246
1779321487.3421676,3880768,16.63888931274414
1779321490.9065335,3888800,13.015228271484375
1779321559.3655593,3899520,13.759259223937988
1779321561.210453,3903616,14.579832077026367
1779321562.8452902,3907296,14.048309326171875
1779321564.3368604,3910912,14.461929321289062
1779321566.1788244,3915136,13.32160758972168
1779321568.563736,3920384,15.566038131713867
1779321570.4840174,3924672,13.8421049118042
1779321649.9150271,3962752,15.65656566619873
1779321714.9811678,3964960,12.698795318603516
1779321885.4887502,4058304,15.373873710632324
1779321886.8136442,4061600,15.563953399658203
1779321887.4634883,4063040,15.293333053588867
1779321958.3978531,4077248,15.27173900604248
1779321963.006739,4087680,17.25
1779322113.1648188,4140032,14.216980934143066
1779322188.9388373,4169120,12.642457962036133
1779322350.5420384,4253472,12.668539047241211
1779322351.2580142,4255104,12.781064987182617
1779322352.9036915,4258848,16.298341751098633
1779322425.1066065,4281856,16.569766998291016
1779322428.1997418,4288704,15.42288589477539
1779322507.4084184,4321440,14.859550476074219
1779322581.2659712,4343872,16.48255729675293
1779322581.962004,4345408,15.694300651550293
1779322582.841607,4347360,18.06338119506836
1779322583.42925,4348704,13.399999618530273
1779322654.7152352,4366560,16.260162353515625
1779322812.2521434,4439232,14.44444465637207
1779322814.0168676,4443168,14.619791984558105
1779322890.4191155,4475392,14.821428298950195
1779322895.337666,4488768,16.871166229248047
1779322963.6979587,4498464,15.42792797088623
1779322970.1432092,4512832,18.13725471496582
1779322970.3883524,4513376,17.977527618408203
1779322971.5129771,4516064,9.853880882263184
1779322971.525861,4516096,15.405405044555664
1779322972.2697754,4517984,15.390863418579102
1779323037.3480175,4522112,15.593606948852539
1779323041.0677395,4530304,11.84567928314209
1779323042.0446417,4532736,17.397958755493164
1779323043.1444552,4535264,15.29891300201416
1779323045.849657,4541344,13.904522895812988
1779323046.5014071,4542784,17.136363983154297
1779323051.2064073,4553280,17.931034088134766
1779323117.2555432,4558016,14.439790725708008
1779323120.810304,4566080,16.590909957885742
1779323123.6799073,4572672,16.413612365722656
1779323124.1709962,4573792,15.911765098571777
1779323124.8633673,4575328,14.405405044555664
1779323125.4907715,4576896,15.926966667175293
1779323125.7409697,4577536,12.677631378173828
1779323195.9064183,4594016,15.386473655700684
1779323197.306683,4597536,10.252032279968262
1779323201.23982,4606208,11.07966423034668
1779323201.2557135,4606240,15.241228103637695
1779323350.8085804,4655552,13.029166221618652
1779323351.7089386,4657600,14.810426712036133
1779323353.3661215,4661344,12.423076629638672
1779323354.1155508,4662976,10.585858345031738
1779323358.4741807,4672736,17.375
1779323429.3824215,4687424,16.351350784301758
1779323431.0017374,4691168,16.09375
1779323667.879568,4792768,16.681081771850586
1779323752.1513357,4839392,15.810185432434082
1779323752.3051329,4839744,15.671794891357422
1779323902.541138,4891488,15.515625
1779323905.657609,4898784,15.237373352050781
1779324060.6873415,4966144,16.566265106201172
1779324061.069517,4967136,14.068323135375977
1779324137.2390318,4994816,16.352201461791992
1779324142.5344145,5006784,15.983606338500977
1779324210.0109723,5015744,14.569672584533691
1779324371.1712193,5091328,12.004484176635742
1779324372.308158,5094016,14.672268867492676
1779324373.3669267,5096608,16.361255645751953
1779324373.4909418,5096896,14.027149200439453
1779324450.4337873,5124768,19.458763122558594
1779324456.8226464,5139552,16.823204040527344
1779324458.526878,5143424,15.02808952331543
1779324459.0210965,5144544,17.05128288269043
1779324605.5025098,5185920,15.026845932006836
1779324613.3789322,5204448,13.784431457519531
1779324999.6670203,5353536,14.492366790771484
1779325000.9452171,5357024,14.673171043395996
1779325006.7142599,5372096,17.182573318481445
1779325073.314514,5377312,15.681591987609863
1779325074.93929,5380960,16.928251266479492
1779325398.2631047,5534592,15.570175170898438
1779325468.505376,5548288,17.6085262298584
1779325553.7282138,5597088,12.230392456054688
1779325554.4395504,5598848,14.226600646972656
1779325554.5624645,5599168,14.820359230041504
1779325555.3760903,5601184,17.115385055541992
1779325621.825984,5607168,14.885714530944824
1779325625.6521864,5615744,17.96875
1779325626.764375,5618208,13.978141784667969
1779325627.6571233,5620352,17.176870346069336
1779325632.4588838,5633408,16.508621215820312
1779325711.536791,5668160,18.2608699798584
1779325778.716206,5674368,17.105262756347656
1779325779.239977,5675520,13.31891918182373
1779325780.2735686,5677824,19.44444465637207
1779325780.3450572,5677984,15.412322044372559
1779325780.6294703,5678592,17.47572898864746
1779325785.4886992,5689408,15.775861740112305
1779325787.1863391,5693408,12.921259880065918
1779325788.1090045,5695712,18.518518447875977
1779325790.0753727,5700256,16.968181610107422
1779326019.676286,5787008,14.227642059326172
1779326021.151076,5791040,14.221105575561523
1779326021.5505474,5792128,18.32085609436035
1779326409.5633473,5955264,15.710526466369629
1779326483.4365196,5980512,18.485916137695312
1779326485.2008986,5984512,12.978141784667969
1779326490.2106469,5995808,15.252293586730957
1779327103.5300634,6236896,12.313953399658203
1779327107.3001401,6245728,16.620878219604492
1779327107.4378967,6246048,15.477011680603027
1779327109.9765668,6251840,17.567567825317383
1779327110.7306423,6253536,13.954917907714844
1779327182.6255007,6272096,16.93181800842285
1779327183.8010857,6274816,17.763158798217773
1779327183.8361356,6274912,12.664948463439941
1779327184.7393465,6277376,13.550724983215332
1779327185.7589304,6280160,15.251396179199219
1779327189.034068,6289056,15.520467758178711
1779327342.7354937,6346752,15.94565200805664
1779327343.024383,6347360,17.1122989654541
1779327967.8227975,6614080,16.005746841430664
1779328033.668331,6619200,13.34375
1779328034.7944489,6621824,13.520179748535156
1779328035.8317049,6624192,15.801281929016113
1779328035.9046214,6624352,15.227272987365723
1779328038.7069576,6630784,19.771574020385742
1779328039.066394,6631584,15.899471282958984
1779328120.5420468,6677504,17.29910659790039
1779328272.203265,6733920,18.44919776916504
1779328279.191585,6750144,16.223403930664062
1779328345.8125944,6755872,14.449541091918945
1779328434.0900676,6814016,16.704545974731445
1779328434.556413,6815008,16.220657348632812
1779328434.6907694,6815296,16.435184478759766
1779328498.6996808,6817920,13.895833015441895
1779328499.9332418,6820704,14.70588207244873
1779328502.5036926,6826624,17.397661209106445
1779328581.937537,6862528,16.605838775634766
1779328582.2278042,6863136,14.42934799194336
1779328583.030999,6864896,14.341317176818848
1779328583.3196402,6865568,12.569231033325195
1779328662.843057,6904800,15.722222328186035
1779328734.7736857,6924448,17.945545196533203
1779328809.9548233,6950560,17.70833396911621
1779328895.8140888,7000352,15.160377502441406
1779328897.1663928,7003456,15.284974098205566
1779329208.848415,7133056,17.44791603088379
1779329437.1817284,7215264,15.696721076965332
1779329437.745927,7216544,17.338708877563477
1779329439.0230732,7219360,15.103093147277832
1779329513.8858554,7246144,14.274611473083496
1779329514.1774242,7246912,17.05714225769043
1779329514.4087665,7247520,16.41566276550293
1779329519.282965,7258944,13.235294342041016
1779329519.2953126,7258976,14.727890968322754
1779329522.4454684,7266272,14.364161491394043
1779329523.7968638,7269376,15.137362480163574
1779329749.0552938,7349696,16.532258987426758
1779329989.1622174,7468224,11.324723243713379
1779329989.7969048,7469632,14.569620132446289
1779329990.2819512,7470688,15.135416984558105
1779330054.9366262,7471552,15.058479309082031
1779330066.5846503,7499008,16.525423049926758
1779330067.201198,7500544,18.104394912719727
1779330067.8100643,7501984,15.964912414550781
1779330068.200518,7502880,14.78499984741211
1779330068.2126439,7502912,14.78494644165039
1779330989.7619646,7879648,17.486186981201172
1779330991.4276316,7883488,15.857142448425293
1779330991.8619075,7884512,17.139175415039062
1779330993.1286082,7887456,17.046783447265625
1779330995.1989615,7892416,18.475608825683594
1779331061.5229511,7897344,18.19371795654297
1779331073.8637483,7926592,15.981735229492188
1779331074.7766562,7928800,17.281105041503906
1779331379.5690465,8046048,16.596637725830078
1779331382.124792,8051968,16.676647186279297
1779331383.3920815,8054912,15.263157844543457
1779331385.7437718,8060384,18.457944869995117
1779332543.2886596,8541504,16.170732498168945
1779332545.3483527,8546496,15.65217399597168
1779339054.8806863,11282912,13.928961753845215
1779339057.3094118,11288640,15.198675155639648
1779339058.0248857,11290272,15.650887489318848
1779339059.190692,11293120,18.643617630004883
1779339060.7463858,11296768,18.26424789428711
1779339060.7619941,11296800,18.125
1779339060.8678963,11297056,12.035294532775879
1779340825.894117,12028064,17.27011489868164
1779340826.0073874,12028352,17.944786071777344
1779340826.7808583,12030080,11.800847053527832
1779340829.1185086,12035648,11.353846549987793
1779340830.09358,12037920,16.811594009399414
1779340835.938973,12051776,16.91823959350586
1779340837.8431087,12056320,13.215789794921875
1779340838.1265602,12057024,17.246835708618164
1779341905.7045882,12490240,17.125
1779341911.6498318,12504480,15.847457885742188
1779341914.4899817,12511232,15.782828330993652
1779341981.3936439,12517568,11.655172348022461
1779341982.5096483,12520224,13.0
1779341982.9821322,12521312,15.254237174987793
1779341983.1205754,12521632,14.67977523803711
1779342597.5465384,12792128,16.839826583862305
1779342598.7863052,12795424,13.314606666564941
1779342598.9563422,12795872,15.583333015441895
1779342599.4806046,12797248,16.58454132080078
1779342602.6982093,12805760,15.206008911132812
1779342670.0161538,12815424,17.27748680114746
1779342744.8687708,12845760,15.340909004211426
1779342744.9397507,12845952,12.018692016601562
1779342744.9519784,12845984,16.156461715698242
1779342745.1400752,12846496,14.82062816619873
1779342745.3159308,12846976,16.441177368164062
1779343048.6332297,12979744,18.0790958404541
1779343049.1098537,12981056,15.324175834655762
1779343049.2737002,12981504,16.469879150390625
1779343055.3523564,12998240,14.40721607208252
1779343055.658343,12999072,15.07821273803711
1779343130.0911753,13028320,15.693277359008789
1779343131.1967432,13031360,16.809524536132812
1779343132.8667407,13035936,15.528634071350098
1779343134.6092865,13040736,14.729357719421387
1779343201.7080698,13049696,14.970930099487305
1779343203.1201692,13053600,11.026738166809082
1779343204.0759888,13056224,14.285714149475098
1779343207.7604163,13066400,16.45833396911621
1779343350.40348,13108096,14.54716968536377
1779343663.4199908,13268480,15.355262756347656
1779343735.5017004,13291456,15.949073791503906
1779343736.4643953,13294112,16.467065811157227
1779343737.7404556,13297664,14.63350772857666
1779343806.7671697,13312000,15.078534126281738
1779343882.6128786,13345280,14.714285850524902
1779343884.3338144,13350048,13.783783912658691
1779343884.426986,13350304,14.020833015441895
1779343885.4067602,13353024,14.899038314819336
1779343961.427997,13387232,18.575130462646484
1779343963.0409696,13391712,16.27567481994629
1779343963.109894,13391904,12.942856788635254
1779343963.3379304,13392544,14.534883499145508
1779343963.5330257,13393088,13.714285850524902
1779343964.0979652,13394656,13.356322288513184
1779343965.3580196,13398144,14.917948722839355
1779343965.62292,13398880,16.146465301513672
1779343965.956661,13399808,17.272727966308594
1779343966.2679396,13400672,17.063106536865234
1779344030.9604728,13402976,13.802030563354492
1779344031.2287023,13403712,14.72946834564209
1779344031.7978966,13405280,17.587860107421875
1779344032.5660064,13407424,16.228260040283203
1779344033.4169147,13409792,17.710525512695312
1779344182.8381019,13470016,16.66666603088379
1779344186.2151852,13479392,14.627659797668457
1779344188.304155,13485184,17.275279998779297
1779344566.493768,13648992,14.105262756347656
1779344872.046204,13787904,15.425287246704102
1779344938.6553102,13795776,16.95804214477539
1779344939.7624874,13798848,14.191176414489746
1779344943.0392275,13807936,16.806249618530273
1779345095.657892,13876192,14.676301002502441
1779345097.726641,13881920,12.884817123413086
1779345098.6268644,13884416,11.420635223388672
1779345479.4250987,14051488,15.489795684814453
1779345551.8296685,14074720,14.678082466125488
1779345623.985635,14096896,15.669013977050781
1779345624.1372983,14097312,18.965517044067383
1779345624.240789,14097600,18.005464553833008
1779345624.920687,14099488,13.141463279724121
1779345628.0479627,14108160,13.270777702331543
1779345628.688179,14109920,12.372806549072266
1779345705.0018492,14143360,14.94565200805664
1779345705.3365319,14144288,11.289340019226074
1779345706.0754929,14146336,15.413793563842773
1779345777.457683,14166080,10.125850677490234
1779345784.2016582,14184736,15.327044486999512
1779345853.5798523,14199584,15.75
1779345855.204865,14204064,18.20388412475586
1779345860.8302412,14219616,15.909090995788574
1779345861.4401236,14221312,18.457944869995117
1779345927.5390286,14226816,16.71748924255371
1779345928.273088,14228864,16.676647186279297
1779345928.3663425,14229120,17.095808029174805
